threshold,value,unit,disease,feature,source,source_id,exact_source_support,classification,reason,paper_safe_wording
REQUIRED_WINDOW_HOURS,336,hours (14 days),All Diseases,windowHours,Research Methodology Specification,SRC-01 SRC-02,No,Class C (Engineering Assumption / Provisional),Selected as a standardized 14-day antecedent feature-engineering aggregation window. Not a single biologically validated incubation period across all pathogens.,standardized 14-day feature-engineering window
DEW_POINT_DEPRESSION_THRESHOLD,1.5,°C,Foliar Fungi,dew_point_depression,Monteith & Unsworth (1990) / Agrometeorology,SRC-03,No,Class C (Engineering Assumption / Provisional),General micrometeorological boundary for atmospheric near-saturation; not an empirically calibrated leaf wetness threshold for turmeric foliar canopies.,derived atmospheric condensation proxy
MOISTURE_RH_HIGH_HOURS,140,hours (14d),Leaf Spot & Leaf Blotch,hours_rh_ge_80pct,TNAU / AICRPS Historical Surveys,SRC-01 SRC-02,No,Class B (Observed / Exploratory Evidence),High blotch trial records (>40% PDI) had >160h with RH>=80%. 140h is an exploratory baseline cutoff (~10h/day). No literature source specifies this exact cumulative number.,exploratory candidate threshold
MOISTURE_RH_MODERATE_HOURS,80,hours (14d),Leaf Spot & Leaf Blotch,hours_rh_ge_80pct,TNAU CPPS,SRC-01,No,Class C (Engineering Assumption / Provisional),Heuristic intermediate boundary (~5.7h/day >=80% RH) chosen to represent moderate humidity without explicit literature cutoff.,provisional baseline threshold
MOISTURE_RH_DEFICIENT_HOURS,60,hours (14d),Leaf Spot & Leaf Blotch,hours_rh_ge_80pct,TNAU CPPS,SRC-01,No,Class C (Engineering Assumption / Provisional),Heuristic deficit gate (<4.3h/day >=80% RH) representing persistent dry atmospheric conditions.,provisional baseline threshold
DEW_PROXY_HIGH_HOURS,90,hours (14d),Leaf Blotch & Leaf Spot,hours_dew_condensation_proxy,AICRPS Bhavanisagar Survey Records,SRC-02,No,Class B (Observed / Exploratory Evidence),High blotch historical trial records exhibited 95-164h of dew proxy. 90h chosen as an exploratory lower bound (~6.5h/day). Not an established literature constant.,exploratory candidate threshold
DEW_PROXY_MODERATE_HOURS,50,hours (14d),Leaf Blotch & Leaf Spot,hours_dew_condensation_proxy,AICRPS Bhavanisagar,SRC-02,No,Class C (Engineering Assumption / Provisional),Heuristic mid-tier cutoff (~3.5h/day dew proxy) for moderate canopy condensation.,provisional baseline threshold
DEW_PROXY_DEFICIENT_HOURS,30,hours (14d),Leaf Blotch & Leaf Spot,hours_dew_condensation_proxy,AICRPS Bhavanisagar,SRC-02,No,Class C (Engineering Assumption / Provisional),Heuristic deficit gate (<2.1h/day dew proxy) indicating dry nighttime leaf conditions.,provisional baseline threshold
TEMP_FAVORABLE_HIGH_HOURS,180,hours (14d),Leaf Spot & Leaf Blotch,hours_temp_favorable_22_32C,AICRPS Bhavanisagar Reanalysis,SRC-02,No,Class B (Observed / Exploratory Evidence),Historical Tamil Nadu trial records exhibited 240-333h in 22-32°C. 180h (~12.8h/day) chosen as an exploratory thermal accumulation baseline.,exploratory candidate threshold
TEMP_FAVORABLE_MIN_INCUBATION,100,hours (14d),Leaf Spot & Leaf Blotch,hours_temp_favorable_22_32C,TNAU CPPS,SRC-01,No,Class C (Engineering Assumption / Provisional),Heuristic minimum thermal gate (<7.1h/day in range) preventing false alerts during unseasonal cold snaps.,provisional baseline threshold
RAIN_HIGH_CUMULATIVE_MM,40.0,mm (14d),Leaf Spot,cumulative_rainfall_14d_mm,AICRPS Bhavanisagar Surveys,SRC-02,No,Class B (Observed / Exploratory Evidence),Historical Leaf Spot PDI >=38.5% had 73-142mm rain; moderate had 12.2mm. 40mm selected as an exploratory threshold. No literature source specifies a 14-day 40mm rule.,exploratory candidate threshold
RAIN_MODERATE_CUMULATIVE_MM,15.0,mm (14d),Leaf Spot,cumulative_rainfall_14d_mm,TNAU CPPS,SRC-01,No,Class C (Engineering Assumption / Provisional),Heuristic threshold separating light showers from moderate splash dispersal events.,provisional baseline threshold
RAIN_DRY_CUMULATIVE_MM,5.0,mm (14d),All Diseases,cumulative_rainfall_14d_mm,TNAU CPPS,SRC-01,No,Class C (Engineering Assumption / Provisional),Heuristic threshold representing negligible antecedent rainfall.,provisional baseline threshold
RAIN_HIGH_DAYS_COUNT,5,days (14d),Leaf Spot,rainfall_days_14d_count,AICRPS Bhavanisagar Surveys,SRC-02,No,Class B (Observed / Exploratory Evidence),Observed disease outbreak records had 7-14 rain days. 5 rain days (~35% of days) is an exploratory frequency boundary.,exploratory candidate threshold
RAIN_PEST_WASHOFF_MM,30.0,mm (14d),Aphids,cumulative_rainfall_14d_mm,ICAR-IISR Pest Guidelines,SRC-04,No,Class C (Engineering Assumption / Provisional),Literature states heavy rains wash off aphids; 30mm cumulative over 14 days is an uncalibrated engineering assumption.,provisional baseline threshold
RAIN_PEST_WASHOFF_DAYS,4,days (14d),Aphids,rainfall_days_14d_count,ICAR-IISR Pest Guidelines,SRC-04,No,Class C (Engineering Assumption / Provisional),Literature notes frequent rains suppress pest colonies; 4 rain days over 14 days is an uncalibrated engineering assumption.,provisional baseline threshold
APHID_DRY_MAX_RH_HOURS,60,hours (14d),Aphids,hours_rh_ge_80pct,TNAU Agritech,SRC-01,No,Class C (Engineering Assumption / Provisional),Heuristic constraint (<4.3h/day >=80% RH) representing dry spell conditions favorable for aphids.,provisional baseline threshold
APHID_WARM_MEAN_TEMP_C,27.5,°C,Aphids,mean_temperature,ICAR-IISR Pest Management,SRC-04,No,Class B (Observed / Exploratory Evidence),Literature documents aphid multiplication above 28°C; 27.5°C is an exploratory 14-day mean boundary.,exploratory candidate threshold
APHID_MODERATE_TEMP_C,25.0,°C,Aphids,mean_temperature,ICAR-IISR,SRC-04,No,Class C (Engineering Assumption / Provisional),Provisional thermal baseline for moderate aphid activity.,provisional baseline threshold
OVERCAST_SOLAR_RAD_MIN_DAYLIGHT,10.0,W/m²,Foliar Fungi,shortwave_radiation,Atmospheric Science Standards,SRC-03,Yes,Class A (Explicitly Supported),Standard physical threshold distinguishing night/darkness from daylight solar radiation.,physical agrometeorological boundary
OVERCAST_SOLAR_RAD_MAX_CLOUD,200.0,W/m²,Foliar Fungi,shortwave_radiation,Physical Agrometeorology,SRC-03,No,Class C (Engineering Assumption / Provisional),Provisional threshold representing diffuse overcast daylight conditions in tropical monsoon environments.,provisional baseline threshold
