filename,source_folder,proposed_class,decision,reason,review_status
Leaf Blotch00016.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00017.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00018.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00019.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00020.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00021.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00022.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00023.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00024.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00025.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00026.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00027.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00028.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00029.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00030.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00031.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00032.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00033.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00034.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00035.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00036.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00037.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00038.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00039.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00040.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00041.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00042.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00043.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00044.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00045.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,AMBIGUOUS,Co-occurring foliar drying at leaf apex; difficult to differentiate Taphrina blotch from edge dehydration,COMPLETED
Leaf Blotch00046.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00047.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00048.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00049.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00050.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00051.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00052.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00053.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00054.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00055.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00056.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00057.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00058.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00059.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00060.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00061.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00062.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00063.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00064.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00065.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00066.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00067.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00068.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00069.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00070.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00071.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00072.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00073.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00074.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00075.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00076.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00077.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00078.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00079.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00080.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00081.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00082.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00083.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00084.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00085.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00086.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00087.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00088.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00089.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,AMBIGUOUS,Co-occurring foliar drying at leaf apex; difficult to differentiate Taphrina blotch from edge dehydration,COMPLETED
Leaf Blotch00090.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00091.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00092.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00093.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00094.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00095.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00096.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00097.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00098.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00099.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00100.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00101.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00102.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00103.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00104.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00105.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00106.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00107.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00108.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00109.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00110.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00111.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00112.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00113.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00114.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00115.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00116.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00117.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00118.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00119.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00120.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00121.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00122.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00123.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00124.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00125.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00126.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00127.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00128.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00129.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00130.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
